;appearance_time;earliest_landing_time;target_landing_time;latest_landing_time;penality_cost_earliest;penality_cost_latest;separation_times
0;0;75;82;486;30.00;30.00;['99999', '3', '8', '15', '8', '15', '3', '8', '8', '3', '3', '8', '8', '3', '3', '15', '15', '8', '8', '15', '15', '3', '8', '8', '8', '3', '3', '8', '3', '15', '15', '3', '8', '15', '15', '3', '8', '3', '15', '8', '15', '15', '3', '3', '15', '15', '3', '8', '15', '3']
1;82;157;197;628;10.00;10.00;['3', '99999', '8', '15', '8', '15', '3', '8', '8', '3', '3', '8', '8', '3', '3', '15', '15', '8', '8', '15', '15', '3', '8', '8', '8', '3', '3', '8', '3', '15', '15', '3', '8', '15', '15', '3', '8', '3', '15', '8', '15', '15', '3', '3', '15', '15', '3', '8', '15', '3']
2;59;134;160;561;10.00;10.00;['8', '8', '99999', '15', '8', '15', '3', '8', '8', '3', '3', '8', '8', '3', '3', '15', '15', '8', '8', '15', '15', '3', '8', '8', '8', '3', '3', '8', '3', '15', '15', '3', '8', '15', '15', '3', '8', '3', '15', '8', '15', '15', '3', '3', '15', '15', '3', '8', '15', '3']
3;28;103;117;565;30.00;30.00;['15', '15', '15', '99999', '8', '15', '3', '8', '8', '3', '3', '8', '8', '3', '3', '15', '15', '8', '8', '15', '15', '3', '8', '8', '8', '3', '3', '8', '3', '15', '15', '3', '8', '15', '15', '3', '8', '3', '15', '8', '15', '15', '3', '3', '15', '15', '3', '8', '15', '3']
4;126;201;261;735;10.00;10.00;['8', '8', '8', '8', '99999', '15', '3', '8', '8', '3', '3', '8', '8', '3', '3', '15', '15', '8', '8', '15', '15', '3', '8', '8', '8', '3', '3', '8', '3', '15', '15', '3', '8', '15', '15', '3', '8', '3', '15', '8', '15', '15', '3', '3', '15', '15', '3', '8', '15', '3']
5;20;95;106;524;30.00;30.00;['15', '15', '15', '15', '15', '99999', '3', '8', '8', '3', '3', '8', '8', '3', '3', '15', '15', '8', '8', '15', '15', '3', '8', '8', '8', '3', '3', '8', '3', '15', '15', '3', '8', '15', '15', '3', '8', '3', '15', '8', '15', '15', '3', '3', '15', '15', '3', '8', '15', '3']
6;110;185;229;664;10.00;10.00;['3', '3', '3', '3', '3', '3', '99999', '8', '8', '3', '3', '8', '8', '3', '3', '15', '15', '8', '8', '15', '15', '3', '8', '8', '8', '3', '3', '8', '3', '15', '15', '3', '8', '15', '15', '3', '8', '3', '15', '8', '15', '15', '3', '3', '15', '15', '3', '8', '15', '3']
7;23;98;108;523;30.00;30.00;['8', '8', '8', '8', '8', '8', '8', '99999', '8', '3', '3', '8', '8', '3', '3', '15', '15', '8', '8', '15', '15', '3', '8', '8', '8', '3', '3', '8', '3', '15', '15', '3', '8', '15', '15', '3', '8', '3', '15', '8', '15', '15', '3', '3', '15', '15', '3', '8', '15', '3']
8;42;117;132;578;30.00;30.00;['8', '8', '8', '8', '8', '8', '8', '8', '99999', '3', '3', '8', '8', '3', '3', '15', '15', '8', '8', '15', '15', '3', '8', '8', '8', '3', '3', '8', '3', '15', '15', '3', '8', '15', '15', '3', '8', '3', '15', '8', '15', '15', '3', '3', '15', '15', '3', '8', '15', '3']
9;42;117;130;569;30.00;30.00;['3', '3', '3', '3', '3', '3', '3', '3', '3', '99999', '3', '8', '8', '3', '3', '15', '15', '8', '8', '15', '15', '3', '8', '8', '8', '3', '3', '8', '3', '15', '15', '3', '8', '15', '15', '3', '8', '3', '15', '8', '15', '15', '3', '3', '15', '15', '3', '8', '15', '3']
