;appearance_time;earliest_landing_time;target_landing_time;latest_landing_time;penality_cost_earliest;penality_cost_latest;separation_times
0;54;129;155;559;10.00;10.00;['99999', '3', '15', '15', '15', '15', '15', '15', '15', '15', '3', '3', '15', '15', '3', '3', '15', '15', '15', '15']
1;112;187;246;726;10.00;10.00;['3', '99999', '15', '15', '15', '15', '15', '15', '15', '15', '3', '3', '15', '15', '3', '3', '15', '15', '15', '15']
2;7;82;90;497;30.00;30.00;['15', '15', '99999', '8', '8', '8', '8', '8', '8', '8', '15', '15', '8', '8', '15', '15', '8', '8', '8', '8']
3;10;85;94;502;30.00;30.00;['15', '15', '8', '99999', '8', '8', '8', '8', '8', '8', '15', '15', '8', '8', '15', '15', '8', '8', '8', '8']
4;20;95;105;527;30.00;30.00;['15', '15', '8', '8', '99999', '8', '8', '8', '8', '8', '15', '15', '8', '8', '15', '15', '8', '8', '8', '8']
5;25;100;112;540;30.00;30.00;['15', '15', '8', '8', '8', '99999', '8', '8', '8', '8', '15', '15', '8', '8', '15', '15', '8', '8', '8', '8']
6;26;101;112;536;30.00;30.00;['15', '15', '8', '8', '8', '8', '99999', '8', '8', '8', '15', '15', '8', '8', '15', '15', '8', '8', '8', '8']
7;25;100;111;529;30.00;30.00;['15', '15', '8', '8', '8', '8', '8', '99999', '8', '8', '15', '15', '8', '8', '15', '15', '8', '8', '8', '8']
8;30;105;117;540;30.00;30.00;['15', '15', '8', '8', '8', '8', '8', '8', '99999', '8', '15', '15', '8', '8', '15', '15', '8', '8', '8', '8']
9;47;122;137;587;30.00;30.00;['15', '15', '8', '8', '8', '8', '8', '8', '8', '99999', '15', '15', '8', '8', '15', '15', '8', '8', '8', '8']
10;165;240;307;789;10.00;10.00;['3', '3', '15', '15', '15', '15', '15', '15', '15', '15', '99999', '3', '15', '15', '3', '3', '15', '15', '15', '15']
11;149;224;280;734;10.00;10.00;['3', '3', '15', '15', '15', '15', '15', '15', '15', '15', '3', '99999', '15', '15', '3', '3', '15', '15', '15', '15']
12;67;142;161;639;30.00;30.00;['15', '15', '8', '8', '8', '8', '8', '8', '8', '8', '15', '15', '99999', '8', '15', '15', '8', '8', '8', '8']
13;60;135;151;604;30.00;30.00;['15', '15', '8', '8', '8', '8', '8', '8', '8', '8', '15', '15', '8', '99999', '15', '15', '8', '8', '8', '8']
14;167;242;301;760;10.00;10.00;['3', '3', '15', '15', '15', '15', '15', '15', '15', '15', '3', '3', '15', '15', '99999', '3', '15', '15', '15', '15']
15;225;300;393;931;10.00;10.00;['3', '3', '15', '15', '15', '15', '15', '15', '15', '15', '3', '3', '15', '15', '3', '99999', '15', '15', '15', '15']
16;67;142;159;612;30.00;30.00;['15', '15', '8', '8', '8', '8', '8', '8', '8', '8', '15', '15', '8', '8', '15', '15', '99999', '8', '8', '8']
17;70;145;162;616;30.00;30.00;['15', '15', '8', '8', '8', '8', '8', '8', '8', '8', '15', '15', '8', '8', '15', '15', '8', '99999', '8', '8']
18;63;138;153;590;30.00;30.00;['15', '15', '8', '8', '8', '8', '8', '8', '8', '8', '15', '15', '8', '8', '15', '15', '8', '8', '99999', '8']
19;87;162;182;658;30.00;30.00;['15', '15', '8', '8', '8', '8', '8', '8', '8', '8', '15', '15', '8', '8', '15', '15', '8', '8', '8', '99999']
