;appearance_time;earliest_landing_time;target_landing_time;latest_landing_time;penality_cost_earliest;penality_cost_latest;separation_times
0;54;129;155;559;10.00;10.00;['99999', '3', '15', '15', '15', '15', '15', '15', '15', '15', '3', '3', '15', '15', '3']
1;115;190;250;732;10.00;10.00;['3', '99999', '15', '15', '15', '15', '15', '15', '15', '15', '3', '3', '15', '15', '3']
2;9;84;93;501;30.00;30.00;['15', '15', '99999', '8', '8', '8', '8', '8', '8', '8', '15', '15', '8', '8', '15']
3;14;89;98;509;30.00;30.00;['15', '15', '8', '99999', '8', '8', '8', '8', '8', '8', '15', '15', '8', '8', '15']
4;25;100;111;536;30.00;30.00;['15', '15', '8', '8', '99999', '8', '8', '8', '8', '8', '15', '15', '8', '8', '15']
5;32;107;120;552;30.00;30.00;['15', '15', '8', '8', '8', '99999', '8', '8', '8', '8', '15', '15', '8', '8', '15']
6;34;109;121;550;30.00;30.00;['15', '15', '8', '8', '8', '8', '99999', '8', '8', '8', '15', '15', '8', '8', '15']
7;34;109;120;544;30.00;30.00;['15', '15', '8', '8', '8', '8', '8', '99999', '8', '8', '15', '15', '8', '8', '15']
8;40;115;128;557;30.00;30.00;['15', '15', '8', '8', '8', '8', '8', '8', '99999', '8', '15', '15', '8', '8', '15']
9;59;134;151;610;30.00;30.00;['15', '15', '8', '8', '8', '8', '8', '8', '8', '99999', '15', '15', '8', '8', '15']
10;191;266;341;837;10.00;10.00;['3', '3', '15', '15', '15', '15', '15', '15', '15', '15', '99999', '3', '15', '15', '3']
11;176;251;313;778;10.00;10.00;['3', '3', '15', '15', '15', '15', '15', '15', '15', '15', '3', '99999', '15', '15', '3']
12;85;160;181;674;30.00;30.00;['15', '15', '8', '8', '8', '8', '8', '8', '8', '8', '15', '15', '99999', '8', '15']
13;77;152;171;637;30.00;30.00;['15', '15', '8', '8', '8', '8', '8', '8', '8', '8', '15', '15', '8', '99999', '15']
14;201;276;342;815;10.00;10.00;['3', '3', '15', '15', '15', '15', '15', '15', '15', '15', '3', '3', '15', '15', '99999']
