;appearance_time;earliest_landing_time;target_landing_time;latest_landing_time;penality_cost_earliest;penality_cost_latest;separation_times
0;1;601;1157;2401;1.16;1.41;['68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68']
1;72;672;1233;2472;1.32;1.60;['68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68']
2;123;723;1068;2523;1.32;1.01;['68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68']
3;269;869;1181;2669;1.64;1.64;['90', '90', '90', '68', '90', '68', '68', '68', '68', '90', '68', '68', '90', '90', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '90', '68', '68', '90', '90', '90', '68', '68', '90', '68', '68', '90', '68', '68', '68', '68', '68', '90', '68', '68', '90', '90', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '90', '68', '68', '90', '68', '68', '90', '68', '68', '90', '90', '68', '68', '68', '68', '68', '68', '90', '68', '90', '68', '90', '68', '68', '68', '68', '68', '90', '68', '90', '68', '68', '68', '68', '90', '90', '68', '90', '68', '68', '90', '68', '68', '90', '68', '68', '90', '68', '68', '68', '68', '90', '68', '68', '90', '90', '90', '68', '68', '68', '68', '68', '68', '90', '68', '68', '68', '68', '68', '68', '68', '68', '90', '68', '90', '68', '68', '68', '68', '68', '90', '68', '68', '68', '68', '68', '68', '68', '68', '90', '90']
4;290;890;1408;2690;1.42;1.91;['68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68']
5;378;978;1123;2778;1.30;1.61;['113', '113', '135', '113', '135', '90', '90', '113', '90', '113', '90', '113', '113', '113', '113', '113', '90', '113', '113', '113', '113', '113', '90', '90', '90', '113', '113', '113', '90', '113', '113', '135', '113', '90', '113', '135', '90', '90', '113', '90', '90', '113', '90', '90', '135', '90', '90', '135', '135', '90', '90', '113', '90', '90', '90', '113', '113', '90', '90', '113', '90', '90', '113', '113', '113', '113', '90', '113', '135', '113', '90', '113', '113', '90', '90', '90', '135', '113', '135', '90', '113', '90', '90', '113', '90', '90', '113', '90', '135', '90', '90', '113', '90', '135', '113', '113', '113', '113', '90', '113', '113', '90', '135', '90', '113', '113', '90', '113', '113', '90', '113', '90', '113', '113', '113', '113', '90', '113', '90', '90', '90', '90', '135', '113', '90', '90', '90', '90', '90', '90', '113', '113', '90', '113', '113', '90', '90', '90', '90', '113', '90', '113', '90', '113', '90', '90', '90', '113', '113', '113']
6;475;1075;1337;2875;1.63;1.51;['113', '113', '135', '113', '135', '90', '90', '113', '90', '113', '90', '113', '113', '113', '113', '113', '90', '113', '113', '113', '113', '113', '90', '90', '90', '113', '113', '113', '90', '113', '113', '135', '113', '90', '113', '135', '90', '90', '113', '90', '90', '113', '90', '90', '135', '90', '90', '135', '135', '90', '90', '113', '90', '90', '90', '113', '113', '90', '90', '113', '90', '90', '113', '113', '113', '113', '90', '113', '135', '113', '90', '113', '113', '90', '90', '90', '135', '113', '135', '90', '113', '90', '90', '113', '90', '90', '113', '90', '135', '90', '90', '113', '90', '135', '113', '113', '113', '113', '90', '113', '113', '90', '135', '90', '113', '113', '90', '113', '113', '90', '113', '90', '113', '113', '113', '113', '90', '113', '90', '90', '90', '90', '135', '113', '90', '90', '90', '90', '90', '90', '113', '113', '90', '113', '113', '90', '90', '90', '90', '113', '90', '113', '90', '113', '90', '90', '90', '113', '113', '113']
7;481;1081;1297;2881;1.33;1.09;['90', '90', '90', '68', '90', '68', '68', '68', '68', '90', '68', '68', '90', '90', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '90', '68', '68', '90', '90', '90', '68', '68', '90', '68', '68', '90', '68', '68', '68', '68', '68', '90', '68', '68', '90', '90', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '90', '68', '68', '90', '68', '68', '90', '68', '68', '90', '90', '68', '68', '68', '68', '68', '68', '90', '68', '90', '68', '90', '68', '68', '68', '68', '68', '90', '68', '90', '68', '68', '68', '68', '90', '90', '68', '90', '68', '68', '90', '68', '68', '90', '68', '68', '90', '68', '68', '68', '68', '90', '68', '68', '90', '90', '90', '68', '68', '68', '68', '68', '68', '90', '68', '68', '68', '68', '68', '68', '68', '68', '90', '68', '90', '68', '68', '68', '68', '68', '90', '68', '68', '68', '68', '68', '68', '68', '68', '90', '90']
8;530;1130;1276;2930;1.91;1.64;['113', '113', '135', '113', '135', '90', '90', '113', '90', '113', '90', '113', '113', '113', '113', '113', '90', '113', '113', '113', '113', '113', '90', '90', '90', '113', '113', '113', '90', '113', '113', '135', '113', '90', '113', '135', '90', '90', '113', '90', '90', '113', '90', '90', '135', '90', '90', '135', '135', '90', '90', '113', '90', '90', '90', '113', '113', '90', '90', '113', '90', '90', '113', '113', '113', '113', '90', '113', '135', '113', '90', '113', '113', '90', '90', '90', '135', '113', '135', '90', '113', '90', '90', '113', '90', '90', '113', '90', '135', '90', '90', '113', '90', '135', '113', '113', '113', '113', '90', '113', '113', '90', '135', '90', '113', '113', '90', '113', '113', '90', '113', '90', '113', '113', '113', '113', '90', '113', '90', '90', '90', '90', '135', '113', '90', '90', '90', '90', '90', '90', '113', '113', '90', '113', '113', '90', '90', '90', '90', '113', '90', '113', '90', '113', '90', '90', '90', '113', '113', '113']
9;548;1148;1549;2948;1.70;1.73;['68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68']
