;appearance_time;earliest_landing_time;target_landing_time;latest_landing_time;penality_cost_earliest;penality_cost_latest;separation_times
0;1;601;908;2401;1.45;1.10;['90', '90', '113', '113', '90', '90', '113', '90', '135', '113', '90', '90', '113', '113', '90', '113', '90', '90', '90', '90', '90', '113', '90', '135', '113', '113', '90', '113', '113', '113', '90', '135', '90', '90', '113', '113', '90', '90', '113', '90', '90', '135', '90', '90', '113', '113', '113', '90', '113', '113', '113', '90', '113', '113', '113', '113', '113', '90', '90', '90', '90', '113', '113', '113', '113', '90', '90', '113', '113', '113', '113', '113', '135', '113', '113', '90', '135', '90', '90', '113', '90', '113', '90', '113', '113', '90', '113', '113', '90', '90', '90', '90', '90', '113', '90', '113', '113', '90', '113', '90']
1;125;725;1027;2525;1.82;1.56;['90', '90', '113', '113', '90', '90', '113', '90', '135', '113', '90', '90', '113', '113', '90', '113', '90', '90', '90', '90', '90', '113', '90', '135', '113', '113', '90', '113', '113', '113', '90', '135', '90', '90', '113', '113', '90', '90', '113', '90', '90', '135', '90', '90', '113', '113', '113', '90', '113', '113', '113', '90', '113', '113', '113', '113', '113', '90', '90', '90', '90', '113', '113', '113', '113', '90', '90', '113', '113', '113', '113', '113', '135', '113', '113', '90', '135', '90', '90', '113', '90', '113', '90', '113', '113', '90', '113', '113', '90', '90', '90', '90', '90', '113', '90', '113', '113', '90', '113', '90']
2;328;928;1378;2728;1.40;1.85;['68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68']
3;374;974;1502;2774;1.76;1.27;['68', '68', '90', '68', '68', '68', '90', '68', '90', '68', '68', '68', '90', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '90', '90', '68', '68', '68', '68', '68', '68', '90', '68', '68', '68', '90', '68', '68', '68', '68', '68', '90', '68', '68', '68', '90', '90', '68', '68', '68', '68', '68', '90', '68', '68', '90', '90', '68', '68', '68', '68', '68', '90', '90', '90', '68', '68', '68', '90', '90', '68', '68', '90', '90', '68', '68', '90', '68', '68', '90', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '90', '68']
4;456;1056;1618;2856;1.67;1.55;['90', '90', '113', '113', '90', '90', '113', '90', '135', '113', '90', '90', '113', '113', '90', '113', '90', '90', '90', '90', '90', '113', '90', '135', '113', '113', '90', '113', '113', '113', '90', '135', '90', '90', '113', '113', '90', '90', '113', '90', '90', '135', '90', '90', '113', '113', '113', '90', '113', '113', '113', '90', '113', '113', '113', '113', '113', '90', '90', '90', '90', '113', '113', '113', '113', '90', '90', '113', '113', '113', '113', '113', '135', '113', '113', '90', '135', '90', '90', '113', '90', '113', '90', '113', '113', '90', '113', '113', '90', '90', '90', '90', '90', '113', '90', '113', '113', '90', '113', '90']
5;519;1119;1235;2919;1.39;1.63;['90', '90', '113', '113', '90', '90', '113', '90', '135', '113', '90', '90', '113', '113', '90', '113', '90', '90', '90', '90', '90', '113', '90', '135', '113', '113', '90', '113', '113', '113', '90', '135', '90', '90', '113', '113', '90', '90', '113', '90', '90', '135', '90', '90', '113', '113', '113', '90', '113', '113', '113', '90', '113', '113', '113', '113', '113', '90', '90', '90', '90', '113', '113', '113', '113', '90', '90', '113', '113', '113', '113', '113', '135', '113', '113', '90', '135', '90', '90', '113', '90', '113', '90', '113', '113', '90', '113', '113', '90', '90', '90', '90', '90', '113', '90', '113', '113', '90', '113', '90']
6;548;1148;1520;2948;1.94;1.22;['68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68']
7;595;1195;1401;2995;1.59;1.82;['90', '90', '113', '113', '90', '90', '113', '90', '135', '113', '90', '90', '113', '113', '90', '113', '90', '90', '90', '90', '90', '113', '90', '135', '113', '113', '90', '113', '113', '113', '90', '135', '90', '90', '113', '113', '90', '90', '113', '90', '90', '135', '90', '90', '113', '113', '113', '90', '113', '113', '113', '90', '113', '113', '113', '113', '113', '90', '90', '90', '90', '113', '113', '113', '113', '90', '90', '113', '113', '113', '113', '113', '135', '113', '113', '90', '135', '90', '90', '113', '90', '113', '90', '113', '113', '90', '113', '113', '90', '90', '90', '90', '90', '113', '90', '113', '113', '90', '113', '90']
8;601;1201;1584;3001;1.02;1.33;['68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68']
9;618;1218;1343;3018;1.59;1.88;['68', '68', '90', '68', '68', '68', '90', '68', '90', '68', '68', '68', '90', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '90', '90', '68', '68', '68', '68', '68', '68', '90', '68', '68', '68', '90', '68', '68', '68', '68', '68', '90', '68', '68', '68', '90', '90', '68', '68', '68', '68', '68', '90', '68', '68', '90', '90', '68', '68', '68', '68', '68', '90', '90', '90', '68', '68', '68', '90', '90', '68', '68', '90', '90', '68', '68', '90', '68', '68', '90', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '90', '68']
10;624;1224;1787;3024;1.62;1.15;['90', '90', '113', '113', '90', '90', '113', '90', '135', '113', '90', '90', '113', '113', '90', '113', '90', '90', '90', '90', '90', '113', '90', '135', '113', '113', '90', '113', '113', '113', '90', '135', '90', '90', '113', '113', '90', '90', '113', '90', '90', '135', '90', '90', '113', '113', '113', '90', '113', '113', '113', '90', '113', '113', '113', '113', '113', '90', '90', '90', '90', '113', '113', '113', '113', '90', '90', '113', '113', '113', '113', '113', '135', '113', '113', '90', '135', '90', '90', '113', '90', '113', '90', '113', '113', '90', '113', '113', '90', '90', '90', '90', '90', '113', '90', '113', '113', '90', '113', '90']
11;688;1288;1700;3088;1.13;1.76;['90', '90', '113', '113', '90', '90', '113', '90', '135', '113', '90', '90', '113', '113', '90', '113', '90', '90', '90', '90', '90', '113', '90', '135', '113', '113', '90', '113', '113', '113', '90', '135', '90', '90', '113', '113', '90', '90', '113', '90', '90', '135', '90', '90', '113', '113', '113', '90', '113', '113', '113', '90', '113', '113', '113', '113', '113', '90', '90', '90', '90', '113', '113', '113', '113', '90', '90', '113', '113', '113', '113', '113', '135', '113', '113', '90', '135', '90', '90', '113', '90', '113', '90', '113', '113', '90', '113', '113', '90', '90', '90', '90', '90', '113', '90', '113', '113', '90', '113', '90']
12;1013;1613;1724;3413;1.66;1.23;['68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68']
13;1071;1671;1907;3471;1.61;1.72;['68', '68', '90', '68', '68', '68', '90', '68', '90', '68', '68', '68', '90', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '90', '90', '68', '68', '68', '68', '68', '68', '90', '68', '68', '68', '90', '68', '68', '68', '68', '68', '90', '68', '68', '68', '90', '90', '68', '68', '68', '68', '68', '90', '68', '68', '90', '90', '68', '68', '68', '68', '68', '90', '90', '90', '68', '68', '68', '90', '90', '68', '68', '90', '90', '68', '68', '90', '68', '68', '90', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '90', '68']
14;1100;1700;2234;3500;1.78;1.02;['90', '90', '113', '113', '90', '90', '113', '90', '135', '113', '90', '90', '113', '113', '90', '113', '90', '90', '90', '90', '90', '113', '90', '135', '113', '113', '90', '113', '113', '113', '90', '135', '90', '90', '113', '113', '90', '90', '113', '90', '90', '135', '90', '90', '113', '113', '113', '90', '113', '113', '113', '90', '113', '113', '113', '113', '113', '90', '90', '90', '90', '113', '113', '113', '113', '90', '90', '113', '113', '113', '113', '113', '135', '113', '113', '90', '135', '90', '90', '113', '90', '113', '90', '113', '113', '90', '113', '113', '90', '90', '90', '90', '90', '113', '90', '113', '113', '90', '113', '90']
15;1201;1801;2003;3601;1.09;1.73;['68', '68', '90', '68', '68', '68', '90', '68', '90', '68', '68', '68', '90', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '90', '90', '68', '68', '68', '68', '68', '68', '90', '68', '68', '68', '90', '68', '68', '68', '68', '68', '90', '68', '68', '68', '90', '90', '68', '68', '68', '68', '68', '90', '68', '68', '90', '90', '68', '68', '68', '68', '68', '90', '90', '90', '68', '68', '68', '90', '90', '68', '68', '90', '90', '68', '68', '90', '68', '68', '90', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '68', '90', '68']
